site,country,track,feed_class,mode,scenario,gross_t_per_t_p50,gross_p10,gross_p90,net_t_per_t_p50,share_not_viable,cost_usd_per_tco2_p50,cost_p10,cost_p90,removal_Mt_p50,t_air_c,precip_mm,moisture_factor,slope_deg,road_km,grid_gco2_kwh,grid_src,elec_usd_per_mwh,elec_src
Cassiar,Canada,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2716741113547179,0.25364914412610295,0.2910364989602308,0.23289468532020588,0.0,132.83317918964786,115.95842887605914,152.45408674440077,4.618459893030205,-6.7,1180,1.0,7.5,11.7,191,Ember latest year,,tier default range
Clinton Creek,Canada,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2722016653450783,0.25443883058792327,0.2913827757098989,0.23348275621855585,0.0,130.9603529122669,114.49509922983232,148.61239365479332,2.722016653450783,-3.7,467,1.0,3.8,20.0,191,Ember latest year,,tier default range
New Idria,United States,A: existing tailings,serp_partial,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.2353202089601074,0.0,125.92009495621495,110.4854829638316,140.949948661749,,13.8,371,1.0,7.8,1.8,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Atlas / Coalinga asbestos,United States,A: existing tailings,serp_partial,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.23532020896010675,0.0,126.06507532351338,110.67369349190234,141.19241059870092,,12.3,386,1.0,9.0,6.2,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Lowell / Belvidere (VAG),United States,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.27253644822741696,0.2548695938542045,0.29149639883628875,0.2261949427578136,0.0,127.22306828181152,112.25175755083028,142.35061089746566,12.264140170233762,4.9,1749,1.0,6.8,3.8,230,Vermont / New England (ISO-NE): judgement placeholder: ISO-NE marginal ~0.2-0.3 kg/kWh; replace with eGRID NEWE,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Woodsreef,Australia,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.14075621108401887,0.0,166.90321296488145,145.29768013704933,190.36869636478636,6.815437575811882,16.5,644,1.0,0.8,0.7,650,New South Wales NEM: WSP: ~0.60-0.70,,tier default range
Mount Keith,Australia,A: existing tailings,serp_partial,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.17150964578526356,0.0,150.36532876026723,131.9575835855673,169.83365052288946,,21.7,284,1.0,1.0,1.2,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Shabanie (Zvishavane),Zimbabwe,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.17103108103500858,0.0,150.05333304194028,131.74012038203017,170.710896544644,,21.2,578,1.0,0.5,3.6,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Gaths (Mashava),Zimbabwe,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.17103108103500858,0.0,150.09298706621246,131.78672304760326,170.85781228028316,38.98430293364397,19.8,617,1.0,3.0,0.3,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Havelock / Bulembu,Eswatini,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.24570688031712373,0.0,121.72226109926596,107.36960996863131,136.56940684977164,13.630875151623764,15.4,1100,1.0,13.8,1.9,131,Ember latest year,,tier default range
Msauli,South Africa,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.13091130131849527,0.0,173.2838015103687,150.21670205508053,199.35946340154487,,14.4,1072,1.0,4.2,5.3,699,Ember latest year,,tier default range
Cana Brava (SAMA),Brazil,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.25144146838699166,0.0,119.75949132056309,105.19860644257768,133.93634342019575,,26.5,1239,1.0,3.0,4.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Bazhenovskoye (Uralasbest),Russia,A: existing tailings,serp_antigorite,reactor_activated,NOAK,0.2725081811544452,0.25486959203013604,0.2914963987327189,0.18955152205467501,0.0,146.25421999065475,126.95849557457049,165.78931779765458,,2.7,525,1.0,6.2,1.1,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Dzhetygara (Zhitikara),Kazakhstan,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2725364482245309,0.2548695936182481,0.291496398827332,0.18901516657571246,0.0,145.4194993434278,127.1906002891113,164.2136459178133,,4.0,331,1.0,0.2,0.4,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Balangero,Italy,A: existing tailings,serp_antigorite,reactor_activated,NOAK,0.27261607901269275,0.254890666972343,0.29149639883831485,0.2149981623004817,0.0,132.98062092070455,116.98040033276575,149.71763607925126,,11.5,1006,1.0,7.5,0.7,285,Ember latest year,,tier default range
Amiantos,Cyprus,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.19119103481834915,0.0,141.97074519572055,124.15761917100635,159.80442451610423,,13.0,728,1.0,9.8,0.8,400,Turkey: WSP: ~0.38-0.42,,tier default range
Zidani,Greece,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.20723160006154845,0.0,135.85855783199494,118.9221339923698,152.93623875951005,,12.4,516,1.0,2.5,0.7,324,Ember latest year,,tier default range
Diavik,Canada,A: existing tailings,kimberlite_tailings,reactor_activated,NOAK,0.27052358920741804,0.2520691537183489,0.2904797668983129,0.23199909100595695,0.0,135.46172008114394,117.3794834740067,157.35589263387303,,-9.6,428,1.0,0.5,265.6,191,Ember latest year,,tier default range
Dumont Nickel (Launay),Canada,B: greenfield / project,serp_partial,reactor_activated,NOAK,0.27250801252072254,0.25486958863571163,0.2914963984530072,0.2688032677407298,0.0,174.1747476047056,146.36884745862088,210.1809753852043,,1.9,946,1.0,0.0,0.7,1,"Abitibi, Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh",46.0,"Abitibi, Quebec: Arca TEA demo column"
Baptiste (Decar),Canada,B: greenfield / project,serp_partial,reactor_activated,NOAK,0.2725298418185308,0.2548695933742195,0.29149639881579137,0.22676245516495383,0.0,201.91674430701153,168.73233809206428,242.73699676797233,,3.6,579,1.0,0.8,45.9,191,Ember latest year,,tier default range
Coral Bay region (WSP polygon 143),Australia,B: greenfield / project,dunite_fresh,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.1583515138860364,0.0,237.22397322092948,197.08234342557031,288.3817580857053,,23.5,235,1.0,0.2,0.8,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Turkey polygon 22 (WSP),Turkey,B: greenfield / project,serp_lizardite,reactor_activated,NOAK,0.27256904711607133,0.254890666972343,0.29149639883831485,0.1802117446811705,0.0,223.4150177935371,186.36456157001746,269.05141902793065,,10.5,601,1.0,0.0,0.7,400,Turkey: WSP: ~0.38-0.42,,tier default range
Niquelândia complex,Brazil,A: existing tailings,dunite_fresh,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.25144146838699166,0.0,119.77177832649062,105.19958553374553,133.9627113455624,,24.9,1477,1.0,2.2,0.8,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Barro Alto,Brazil,A: existing tailings,laterite_saprolite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.25144146838699166,0.0,119.7651923576635,105.19942151855814,133.96046281054166,,25.1,1494,1.0,0.5,1.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Koniambo,New Caledonia,A: existing tailings,laterite_saprolite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.15899168939667957,0.0,156.8796413080455,136.34719575428934,176.70327414766672,,19.9,1827,1.0,9.0,5.6,561,Ember latest year,,tier default range
Tiébaghi,New Caledonia,A: existing tailings,laterite_saprolite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.15899168939667957,0.0,156.76465884800047,136.28035342250743,176.60529361097528,,21.4,1356,1.0,2.2,1.7,561,Ember latest year,,tier default range
Goro (Massif du Sud),New Caledonia,A: existing tailings,laterite_saprolite,reactor_activated,NOAK,0.2726175030324753,0.254890666972343,0.29149639883831485,0.15899168939667957,0.0,156.7377065621003,136.2732008277997,176.55307305660537,,21.8,2715,1.0,4.2,0.8,561,Ember latest year,,tier default range
